cat_id,major,cat_label,cex_item_code,cex_item_code_pre2023,parent_item_code,in_cpi_scope,scope_note,cpi_item_code,confidence
01,Food,Food at home,FOODHOME,,FOODTOTL,TRUE,,,
02,Food,Food away from home,FOODAWAY,,FOODTOTL,TRUE,"CPI SEFV. CEX includes tips; CPI covers them in the item price.",,
03,Alcohol,Alcoholic beverages,ALCBEVG,,TOTALEXP,TRUE,,,
04,Housing,Owned dwellings: mortgage interest and charges,OWNMORTG,,OWNDWELL,FALSE,"Interest is financing, not consumption. CPI replaces all owner shelter outlays with owners' equivalent rent.",,
05,Housing,Owned dwellings: property taxes,220211,,OWNDWELL,FALSE,"Excluded from CPI; subsumed into owners' equivalent rent.",,
06,Housing,"Owned dwellings: maintenance, repairs, insurance",OWNEXPEN,,OWNDWELL,PARTIAL,"CPI covers tenants'/household insurance and some repair services, but owner-occupier shelter services enter only via OER. Treated as out of scope under scope_cpi_b.",,
07,Housing,Rented dwellings,RNTDWELL,,SHELTER,TRUE,"Maps to CPI rent of primary residence (SEHA).",,
08,Housing,Other lodging,OTHLODGE,,SHELTER,TRUE,"Maps to CPI lodging away from home (SEHB).",,
09,Utilities,Natural gas,NATRLGAS,,UTILS,TRUE,,,
10,Utilities,Electricity,ELECTRIC,,UTILS,TRUE,,,
11,Utilities,Fuel oil and other fuels,OTHRFUEL,,UTILS,TRUE,,,
12,Utilities,Telephone services,PHONE,,UTILS,TRUE,,,
13,Utilities,Water and other public services,WATER,,UTILS,TRUE,,,
14,Household ops,Personal services (childcare proxy),HHPERSRV,,HHOPER,TRUE,"CHILDCARE PROXY. HHPERSRV = childcare + elderly/invalid care + adult day care. Childcare item 670320 exists only for 2023-2024 at the LB06 level. Contamination is asymmetric: in 2024 childcare is 96.5 pct of HHPERSRV for married-with-children, 100 pct for single parents, but only 51.5 pct for single/other CUs. Using HHPERSRV therefore NARROWS the measured family-versus-single childcare gap. Conservative. See decisions_log D-06.",,
15,Household ops,Other household expenses,HHOTHXPN,,HHOPER,TRUE,,,
16,Household ops,Housekeeping supplies,HKPGSUPP,,HOUSING,TRUE,,,
17,Household ops,Household furnishings and equipment,HHFURNSH,,HOUSING,TRUE,,,
18,Apparel,Apparel: men and boys,MENBOYS,,APPAREL,TRUE,,,
19,Apparel,Apparel: women and girls,WMNSGRLS,,APPAREL,TRUE,,,
20,Apparel,Apparel: children under 2,INFANT,,APPAREL,TRUE,"Maps to CPI infants' and toddlers' apparel (SEAF).",,
21,Apparel,Footwear,FOOTWEAR,,APPAREL,TRUE,,,
22,Apparel,Other apparel products and services,OTHAPPRL,,APPAREL,TRUE,,,
23,Transport,Vehicle purchases (net outlay),VEHPURCH,,TRANS,PARTIAL,"CEX reports net outlay (net of trade-in); CPI prices gross transaction value of new and used vehicles. Conceptual mismatch, retained in scope with a flag.",,
24,Transport,Gasoline and other fuels,GASFUEL,GASOIL,TRANS,TRUE,"SPLICED SERIES. GASOIL (Gasoline, other fuels, and motor oil) runs 1984-2022; GASFUEL (Gasoline and other fuels) runs 2023-2024. In 2023 GASOIL collapses to 1 dollar while GASFUEL carries the value, so 2023 is the switch year, not an overlap. Motor oil moved out of the aggregate at the break. See decisions_log D-05.",,
25,Transport,Other vehicle expenses,VEHOTHXP,,TRANS,PARTIAL,"Includes vehicle finance charges (VEHFINCH), which CPI excludes as interest.",,
26,Transport,Public and other transportation,PUBTRANS,,TRANS,TRUE,,,
27,Health,Health insurance,HLTHINSR,,HEALTH,PARTIAL,"Largest single concept mismatch after shelter. CEX reports household out-of-pocket premiums; CPI's health insurance index captures only retained earnings, with employer- and government-paid medical care out of scope.",,
28,Health,Medical services,MEDSERVS,,HEALTH,TRUE,,,
29,Health,Drugs,DRUGS,,HEALTH,TRUE,,,
30,Health,Medical supplies,MEDSUPPL,,HEALTH,TRUE,,,
31,Entertainment,Fees and admissions,FEESADM,,ENTRTAIN,TRUE,,,
32,Entertainment,Audio and visual equipment and services,TVAUDIO,,ENTRTAIN,TRUE,,,
33,Entertainment,"Pets, toys, hobbies, and playground equipment",PETSPLAY,,ENTRTAIN,TRUE,"Contains CPI toys (SERE01) and pet items; not separable at this level before 2010.",,
34,Entertainment,"Other entertainment supplies, equipment, services",ENTEROTH,,ENTRTAIN,TRUE,,,
35,Personal care,Personal care products and services,PERSCARE,,TOTALEXP,TRUE,,,
36,Reading,Reading,READING,,TOTALEXP,TRUE,,,
37,Education,Education,EDUCATN,,TOTALEXP,PARTIAL,"Includes student loan finance charges (005520), which CPI excludes. Tuition components separable only from 2010.",,
38,Tobacco,Tobacco products and smoking supplies,TOBACCO,,TOTALEXP,TRUE,,,
39,Miscellaneous,Miscellaneous,MISC,,TOTALEXP,PARTIAL,"Includes credit card and other finance charges, which CPI excludes as interest.",,
40,Out of scope,Cash contributions,CASHCONT,,TOTALEXP,FALSE,"Gifts, alimony, child support, charity. Transfers, not consumption by the giving household. Excluded from CPI.",,
41,Out of scope,Personal insurance and pensions,INSPENSN,,TOTALEXP,FALSE,"Social Security contributions, pensions, life insurance. Saving, not consumption. Excluded from CPI.",,
