window,basket,from,to,block,gap,contrib
"2019-2026, CPI concept (headline)",pm_oer_all_in,2019-12-01,2026-07-01,Food,-0.6860906945186374,0.07645678381669993
"2019-2026, CPI concept (headline)",pm_oer_all_in,2019-12-01,2026-07-01,Alcohol and tobacco,-0.6860906945186374,-0.06480481822606966
"2019-2026, CPI concept (headline)",pm_oer_all_in,2019-12-01,2026-07-01,Rent,-0.6860906945186374,-0.2553623423885311
"2019-2026, CPI concept (headline)",pm_oer_all_in,2019-12-01,2026-07-01,Owners' housing and lodging,-0.6860906945186374,-0.012713723246882646
"2019-2026, CPI concept (headline)",pm_oer_all_in,2019-12-01,2026-07-01,Utilities and phone,-0.6860906945186374,-0.11683797580341791
"2019-2026, CPI concept (headline)",pm_oer_all_in,2019-12-01,2026-07-01,Childcare,-0.6860906945186374,0.004911114940280466
"2019-2026, CPI concept (headline)",pm_oer_all_in,2019-12-01,2026-07-01,Everything else,-0.6860906945186374,-0.054885227483741354
"2019-2026, CPI concept (headline)",pm_oer_all_in,2019-12-01,2026-07-01,Apparel,-0.6860906945186374,-0.10700916029371378
"2019-2026, CPI concept (headline)",pm_oer_all_in,2019-12-01,2026-07-01,"Vehicles, gas, transport",-0.6860906945186374,0.022174866321217304
"2019-2026, CPI concept (headline)",pm_oer_all_in,2019-12-01,2026-07-01,Education,-0.6860906945186374,-0.17503198638324824
"2019-2026, CPI concept (headline)",pm_oer_all_in,2019-12-01,2026-07-01,Medical,-0.6860906945186374,0.029068495676066324
"2014-2019, CPI concept",pm_oer_all_in,2014-12-01,2019-12-01,Food,-1.051945671729615,-0.06620204899634756
"2014-2019, CPI concept",pm_oer_all_in,2014-12-01,2019-12-01,Alcohol and tobacco,-1.051945671729615,-0.054618966847696473
"2014-2019, CPI concept",pm_oer_all_in,2014-12-01,2019-12-01,Rent,-1.051945671729615,-0.6811265330424224
"2014-2019, CPI concept",pm_oer_all_in,2014-12-01,2019-12-01,Owners' housing and lodging,-1.051945671729615,0.04172243347953892
"2014-2019, CPI concept",pm_oer_all_in,2014-12-01,2019-12-01,Utilities and phone,-1.051945671729615,0.018153201893951903
"2014-2019, CPI concept",pm_oer_all_in,2014-12-01,2019-12-01,Childcare,-1.051945671729615,0.069425636798696
"2014-2019, CPI concept",pm_oer_all_in,2014-12-01,2019-12-01,Everything else,-1.051945671729615,-0.03342165912702302
"2014-2019, CPI concept",pm_oer_all_in,2014-12-01,2019-12-01,Apparel,-1.051945671729615,-0.10389174506991507
"2014-2019, CPI concept",pm_oer_all_in,2014-12-01,2019-12-01,"Vehicles, gas, transport",-1.051945671729615,-0.21574866456735406
"2014-2019, CPI concept",pm_oer_all_in,2014-12-01,2019-12-01,Education,-1.051945671729615,0.0393072437720822
"2014-2019, CPI concept",pm_oer_all_in,2014-12-01,2019-12-01,Medical,-1.051945671729615,-0.019805046372327578
"2014-2019, ex-shelter",pm_ex_shelter,2014-12-01,2019-12-01,Food,-0.22175690631514033,-0.0099487777055115
"2014-2019, ex-shelter",pm_ex_shelter,2014-12-01,2019-12-01,Alcohol and tobacco,-0.22175690631514033,-0.13778590029632634
"2014-2019, ex-shelter",pm_ex_shelter,2014-12-01,2019-12-01,Utilities and phone,-0.22175690631514033,0.05993435685754897
"2014-2019, ex-shelter",pm_ex_shelter,2014-12-01,2019-12-01,Childcare,-0.22175690631514033,0.15931158549653301
"2014-2019, ex-shelter",pm_ex_shelter,2014-12-01,2019-12-01,Everything else,-0.22175690631514033,0.030634730691193122
"2014-2019, ex-shelter",pm_ex_shelter,2014-12-01,2019-12-01,Apparel,-0.22175690631514033,-0.0756335622807574
"2014-2019, ex-shelter",pm_ex_shelter,2014-12-01,2019-12-01,"Vehicles, gas, transport",-0.22175690631514033,-0.1916115650237923
"2014-2019, ex-shelter",pm_ex_shelter,2014-12-01,2019-12-01,Education,-0.22175690631514033,0.08826012970087063
"2014-2019, ex-shelter",pm_ex_shelter,2014-12-01,2019-12-01,Medical,-0.22175690631514033,-0.13996694702676668
"2019-2026, ex-shelter",pm_ex_shelter,2019-12-01,2026-07-01,Food,-0.4122743951440633,0.0434772705063187
"2019-2026, ex-shelter",pm_ex_shelter,2019-12-01,2026-07-01,Alcohol and tobacco,-0.4122743951440633,-0.12910151270906797
"2019-2026, ex-shelter",pm_ex_shelter,2019-12-01,2026-07-01,Utilities and phone,-0.4122743951440633,-0.21765081403588749
"2019-2026, ex-shelter",pm_ex_shelter,2019-12-01,2026-07-01,Childcare,-0.4122743951440633,0.04048055807604746
"2019-2026, ex-shelter",pm_ex_shelter,2019-12-01,2026-07-01,Everything else,-0.4122743951440633,0.12646563269999644
"2019-2026, ex-shelter",pm_ex_shelter,2019-12-01,2026-07-01,Apparel,-0.4122743951440633,-0.0936851234119875
"2019-2026, ex-shelter",pm_ex_shelter,2019-12-01,2026-07-01,"Vehicles, gas, transport",-0.4122743951440633,-0.14725813963557813
"2019-2026, ex-shelter",pm_ex_shelter,2019-12-01,2026-07-01,Education,-0.4122743951440633,-0.17404687096541394
"2019-2026, ex-shelter",pm_ex_shelter,2019-12-01,2026-07-01,Medical,-0.4122743951440633,0.14728240423831218
"2010-2019, ex-shelter (long panel)",ex_shelter_long,2010-12-01,2019-12-01,Food,0.06591098650627902,0.010900999163754137
"2010-2019, ex-shelter (long panel)",ex_shelter_long,2010-12-01,2019-12-01,Alcohol and tobacco,0.06591098650627902,-0.24257078574504826
"2010-2019, ex-shelter (long panel)",ex_shelter_long,2010-12-01,2019-12-01,Utilities and phone,0.06591098650627902,0.06172486751223884
"2010-2019, ex-shelter (long panel)",ex_shelter_long,2010-12-01,2019-12-01,Childcare,0.06591098650627902,0.2773224188968535
"2010-2019, ex-shelter (long panel)",ex_shelter_long,2010-12-01,2019-12-01,Everything else,0.06591098650627902,0.0010544969900955423
"2010-2019, ex-shelter (long panel)",ex_shelter_long,2010-12-01,2019-12-01,Apparel,0.06591098650627902,-0.06833752321773762
"2010-2019, ex-shelter (long panel)",ex_shelter_long,2010-12-01,2019-12-01,"Vehicles, gas, transport",0.06591098650627902,-0.26304061977606685
"2010-2019, ex-shelter (long panel)",ex_shelter_long,2010-12-01,2019-12-01,Medical,0.06591098650627902,-0.0020160843198450146
"2010-2019, ex-shelter (long panel)",ex_shelter_long,2010-12-01,2019-12-01,Education,0.06591098650627902,0.2829327128080528
